target,reference,dtype
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,meta-llama/Llama-3.3-70B-Instruct,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,meta-llama/Llama-3.1-8B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Qwen/Qwen2.5-14B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Qwen/Qwen2.5-Math-1.5B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,Qwen/Qwen2.5-32B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Qwen/Qwen2.5-Math-7B,
Qwen/QwQ-32B,Qwen/QwQ-32B-Preview,
simplescaling/s1.1-32B,Qwen/Qwen2.5-32B-Instruct,
openai/gpt-oss-120b,openai-community/gpt2-xl,
openai/gpt-oss-120b,openai/gpt-oss-20b,
openai/gpt-oss-20b,openai-community/gpt2-xl,
